Brand,Store Number,Store Name,Ownership Type,Street Address,City,State/Province,Country,Postcode,Phone Number,Timezone,Longitude,Latitude
Starbucks,28839-251146,Vanit Place,Company Owned,1126/1 New Petchburi Rd,Bangkok,Bangkok,Thailand,10400,844387401,GMT+07:00 Asia/Bangkok,100.55,13.75
Starbucks,22334-218964,Im Park Sam Yan,Company Owned,"272 Soi Chula 22, Wangmai, Pathum Wan, A Link",Bangkok,Bangkok,Thailand,10330,922464190,GMT+07:00 Asia/Bangkok,100.52,13.74
Starbucks,25906-242707,A Link Square,Company Owned,"44 Soi Sukhumvit 71,Ramkhamhaeng rd., Saunluang",Bangkok,Bangkok,Thailand,10250,614033514,GMT+07:00 Asia/Bangkok,100.6,13.74
Starbucks,47521-249024,Ease Park,Company Owned,Ramintra Road,Bangkok,Bangkok,Thailand,,625985223,GMT+07:00 Asia/Bangkok,100.63,13.86
Starbucks,33728-152607,Camp Davis,Company Owned,"88, Camp Davis, Sukhumvit 24 Soi",Bangkok,Bangkok,Thailand,10110,844387343,GMT+07:00 Asia/Bangkok,100.57,13.72
Starbucks,21907-216326,Robinson Bangrak,Company Owned,"Charoenkrung Road, Bangrak, Tree on 3",Bangkok,Bangkok,Thailand,10500,922614374,GMT+07:00 Asia/Bangkok,100.52,13.72
Starbucks,29615-254364,Tree on 3,Company Owned,"Rama 3 rd., Bangklo, Bang Kho Laem",Bangkok,Bangkok,Thailand,10120,632673396,GMT+07:00 Asia/Bangkok,100.5,13.69
Starbucks,26451-230784,The JAS Ramintra,Company Owned,"Ladplakhao Road, Bangkhen district",Bangkok,Bangkok,Thailand,10220,982573206,GMT+07:00 Asia/Bangkok,100.61,13.86
Starbucks,21631-213624,Grand China Hotel,Company Owned,"215 Yaowarat Road,Samphantawong",Bangkok,Bangkok,Thailand,10100,922624408,GMT+07:00 Asia/Bangkok,100.51,13.74
Starbucks,25152-239944,Abdulrahim Place,Company Owned,"990, Rama IV Road, Silom, Bangrak, Central East Ville - Fashion Galleria",Bangkok,Bangkok,Thailand,10500,614108965,GMT+07:00 Asia/Bangkok,100.54,13.73
Starbucks,29995-256329,Central East Ville-Fashion Zone,Company Owned,"Praditmanootham Road, Lardprao Lardprao, Show DC",Bangkok,Bangkok,Thailand,10230,632673372,GMT+07:00 Asia/Bangkok,100.61,13.8
Starbucks,49617-269864,Show DC,Company Owned,"Jaturatid Road,Bangkapi, Huai Khwang",Bangkok,Bangkok,Thailand,10310,625988479,GMT+07:00 Asia/Bangkok,100.57,13.75
Starbucks,26019-243024,Sikarin Hospital,Company Owned,"4/29 moo 10 Sinakharin rd, Bangna,, Ideo Mobi Charan-Interchange",Bangkok,Bangkok,Thailand,10260,614033516,GMT+07:00 Asia/Bangkok,100.65,13.65
Starbucks,49375-268164,Ideo Mobi Charan-Interchange,Company Owned,"531/1-2 Ideo Mobi Charan-Interchange, Ch, Bangkoknoi",Bangkok,Bangkok,Thailand,10700,613977922,GMT+07:00 Asia/Bangkok,100.47,13.76
Starbucks,21807-215328,Paseo Mall Ladkrabang,Company Owned,318/5 Ladkrabang Rd. Ladgrabang,Bangkok,Bangkok,Thailand,10520,922614380,GMT+07:00 Asia/Bangkok,100.73,13.72
Starbucks,21808-215325,Vanilla Moon,Company Owned,Chan Rd. Yannawa,Bangkok,Bangkok,Thailand,,922464183,GMT+07:00 Asia/Bangkok,100.52,13.71
Starbucks,20366-205085,The Walk Kaset Nawamintra,Company Owned,"505,507,509,511,511/1, 511/2, Prasertmanukij Road, Ladprao",Bangkok,Bangkok,Thailand,10230,818702373,GMT+07:00 Asia/Bangkok,100.63,13.83
Starbucks,24235-220827,The X Place,Company Owned,"Kanchanapisek Road, Bangkae",Bangkok,Bangkok,Thailand,10160,625931377,GMT+07:00 Asia/Bangkok,100.41,13.69
Starbucks,19971-188453,Siam Square 1,Company Owned,"Rama 1 Road, Patumwan, Little Walk Bangna",Bangkok,Bangkok,Thailand,10330,922464191,GMT+07:00 Asia/Bangkok,100.53,13.75
Starbucks,49440-268886,Little Walk Bangna,Company Owned,"769-769/3 Bangna-Trad Bangna, Bang Na, CTI Tower",Bangkok,Bangkok,Thailand,10260,614202172,GMT+07:00 Asia/Bangkok,100.64,13.67
Starbucks,29166-252506,CTI Tower,Company Owned,"Ratchadapisek Rd., Klongtoey",Bangkok,Bangkok,Thailand,10110,614217567,GMT+07:00 Asia/Bangkok,100.56,13.73
Starbucks,21111-209424,Victoria Garden,Company Owned,"Phetkasem Road, Laksong Sub-district, Bangkhae District",Bangkok,Bangkok,Thailand,10160,982514518,GMT+07:00 Asia/Bangkok,100.38,13.71
Starbucks,21878-215724,Plearnary Mall Watcharapol,Company Owned,"Watcharapol rd., Tha Rang, Gaysorn Shopping Centre",Bangkok,Bangkok,Thailand,10220,922834979,GMT+07:00 Asia/Bangkok,100.65,13.86
Starbucks,47429-258009,Gaysorn Shopping Centre,Company Owned,"999 Ploenchit road, Lumpini Pathumwan",Bangkok,Bangkok,Thailand,10330,625933786,GMT+07:00 Asia/Bangkok,100.54,13.75
Starbucks,33740-175304,Siam Discovery,Company Owned,"989 Siam discovery & Siam tower, Rama 1 Rd., Kasetsart University",Bangkok,Bangkok,Thailand,10330,632673410,GMT+07:00 Asia/Bangkok,100.53,13.75
Starbucks,27192-246869,Kasetsart University,Company Owned,"50 Ngam Wong Wan Rd,, Ladyaow,Chatuchak",Bangkok,Bangkok,Thailand,10900,844387322,GMT+07:00 Asia/Bangkok,100.57,13.84
Starbucks,22137-218144,UBC 2,Company Owned,"591 Sukhumvit Road  North Klongton, Vadhana, Emporium Atelier",Bangkok,Bangkok,Thailand,10110,922624305,GMT+07:00 Asia/Bangkok,100.57,13.73
Starbucks,29613-254365,Emporium Atelier,Company Owned,"662 Sukumvit Road, Klongtan,Klongtoey",Bangkok,Bangkok,Thailand,10110,614028099,GMT+07:00 Asia/Bangkok,100.57,13.73
Starbucks,24264-236806,The Paseo Park Kanchanaphisek,Company Owned,"8/14 Kanchanaphisek Road, Sala Thammasop, Happy Avenue Ladprao 101",Bangkok,Bangkok,Thailand,10170,614108966,GMT+07:00 Asia/Bangkok,100.41,13.77
